marque,modele,variante,nom,prix_source_dh,prix_final_dh,prix_estime,tags,nb_images,dossier_sortie,dossier_source,taille_avant,taille_apres,erreurs
HUBLOT,CLASSIC,1,HUBLOT CLASSIC (180dh),80,180,non,,7,HUBLOT/HUBLOT CLASSIC (180dh),HUBLOT  / Disponible chez Casa watch  / 80dh,962161,470122,
HUBLOT,CLASSIC,1,HUBLOT CLASSIC V2 (180dh),80,180,non,,7,HUBLOT/HUBLOT CLASSIC V2 (180dh),HUBLOT disponible chez Casa watch 80 dh,939003,515198,
IEKE,CLASSIC,1,IEKE CLASSIC (240dh),140,240,non,,29,IEKE/IEKE CLASSIC (240dh),IEKE disponible chez Casa watch  / 140dh,3876584,1827288,
MICHAEL KORS,CLASSIC,1,MICHAEL KORS CLASSIC (220dh),120,220,non,,3,MICHAEL KORS/MICHAEL KORS CLASSIC (220dh),MICHAEL KORS / Disponible chez Casa watch  / 120dh,407477,217538,
CARTIER,CLASSIC,1,CARTIER CLASSIC V5 (210dh),110,210,non,,4,CARTIER/CARTIER CLASSIC V5 (210dh),MONTRE CARTIER  / Disponible chez Casa watch  / 110dh,646511,369690,
ROLEX,CLASSIC,1,ROLEX CLASSIC (220dh),120,220,non,,8,ROLEX/ROLEX CLASSIC (220dh),Montre Rolex de haute qualité / Disponible chez Casa watch  / 120dh,1160827,626940,
OMEGA,AUTOMATIQUE,1,OMEGA AUTOMATIQUE (300dh),200,300,non,AUTOMATIQUE,7,OMEGA/OMEGA AUTOMATIQUE (300dh),OMEGA automatique   / 200 dh,1060706,622982,
OMEGA,CHRONOGRAPHE,1,OMEGA CHRONOGRAPHE (290dh),190,290,non,CHRONOGRAPHE,9,OMEGA/OMEGA CHRONOGRAPHE (290dh),OMEGA chronographe disponible chez casa Watch / 190 dh,1309279,763006,
PATEK PHILIPPE,CLASSIC,1,PATEK PHILIPPE CLASSIC (180dh),80,180,non,,5,PATEK PHILIPPE/PATEK PHILIPPE CLASSIC (180dh),PATEK PHILIPPE  / Disponible chez Casa watch  / 80dh,733753,390500,
PATEK PHILIPPE,AUTOMATIQUE,1,PATEK PHILIPPE AUTOMATIQUE (320dh),220,320,non,AUTOMATIQUE,4,PATEK PHILIPPE/PATEK PHILIPPE AUTOMATIQUE (320dh),PATEK PHILIPPE  atoumatic disponible en stock  / 220 dh,659123,379114,
PATEK PHILIPPE,CLASSIC,1,PATEK PHILIPPE CLASSIC V2 (220dh),120,220,non,,5,PATEK PHILIPPE/PATEK PHILIPPE CLASSIC V2 (220dh),PATEK_PHILIPPE / Disponible chez Casa watch  / 120dh,710160,355692,
PATEK PHILIPPE,CLASSIC,1,PATEK PHILIPPE CLASSIC V3 (280dh),180,280,non,,6,PATEK PHILIPPE/PATEK PHILIPPE CLASSIC V3 (280dh),PATEK_PHILIPPE / Disponible chez Casa watch  / 180dh,1026294,600176,
ROLEX,DAYTONA CHRONOGRAPHE,1,ROLEX DAYTONA CHRONOGRAPHE (300dh),200,300,non,CHRONOGRAPHE,3,ROLEX/ROLEX DAYTONA CHRONOGRAPHE (300dh),ROLEX  DAYTONA disponible en stock chronographe  / 200 dh,523958,309152,
ROLEX,DATEJUST,1,ROLEX DATEJUST (200dh),100,200,non,,5,ROLEX/ROLEX DATEJUST (200dh),RoLEX Date just / Disponible chez Casa watch  / 100dh,717612,381070,
ROLEX,GMT,1,ROLEX GMT (210dh),110,210,non,,6,ROLEX/ROLEX GMT (210dh),ROLEX GMT disponible en stock  / 110 dh,1069250,630784,
ROLEX,LAND DWELLER,1,ROLEX LAND DWELLER (200dh),100,200,non,,5,ROLEX/ROLEX LAND DWELLER (200dh),ROLEX LAND_DWELLER / Disponible chez Casa watch  / 100dh,711365,381018,
ROLEX,OYSTER,1,ROLEX OYSTER (210dh),110,210,non,,6,ROLEX/ROLEX OYSTER (210dh),ROLEX oyster disponible tout le couloir chez casa watch  / 110 dh,836194,472440,
ROLEX,OYSTER,1,ROLEX OYSTER V2 (210dh),110,210,non,,9,ROLEX/ROLEX OYSTER V2 (210dh),ROLEX oyster disponible tout le couloir chez Casa watch  / 110 dh,1145371,641232,
ROLEX,FEMME ACIER,1,ROLEX FEMME ACIER (200dh),100,200,non,FEMME | ACIER,8,ROLEX/ROLEX FEMME ACIER (200dh),ROLEX pour femme disponible chez Casa Watch  / Acier  inoxydable  / 100 dh,1231618,793180,
TISSOT,CLASSIC,1,TISSOT CLASSIC (175dh),75,175,non,,5,TISSOT/TISSOT CLASSIC (175dh),TISSOT disponible chez Casa watch  / 75dh,700695,355864,
TISSOT,FEMME,1,TISSOT FEMME (200dh),100,200,non,FEMME,3,TISSOT/TISSOT FEMME (200dh),TISSOT Pour femme disponible en stock chez Casa Watch  / 100 dh,351114,186438,
TOMMY HILFIGER,CHRONOGRAPHE,1,TOMMY HILFIGER CHRONOGRAPHE (290dh),,290,oui,CHRONOGRAPHE,2,TOMMY HILFIGER/TOMMY HILFIGER CHRONOGRAPHE (290dh),Tommy HiLFIGER chronographe disponible chez Casa watch,345232,199752,
